objectid,name,description,infographic,site_area_type,COMMUNITY,Shape__Area,Shape__Length
1,Adams-Normandie,Area: 0.37 square miles,d2d2aac797ea49698cf5adf3e5d10d9d.txt,polygon,Adams-Normandie,1399723.34375,4830.30446509365
2,Alsace,Area: 0.62 square miles,65670c78759445ea8fc3b43e016654f6.txt,polygon,Alsace,2352224.68359375,7440.66047074995
3,Angelino Heights,Area: 0.15 square miles,389c666cb1eb41108d09d7a8bd9cf6a2.txt,polygon,Angelino Heights,570947.0390625,3828.97665695034
4,Arleta,Area: 2.86 square miles,db3f76773d0040b789aeb5ff4173f4cb.txt,polygon,Arleta,10870041.3515625,15288.2890170577
5,Atwater Village,Area: 2.33 square miles,01a662b208f14290887f9162b424be09.txt,polygon,Atwater Village,8809587.5390625,24546.1362902682
6,Baldwin Hills,Area: 2.6 square miles,17ba6437fa6842b383400cfdebd63105.txt,polygon,Baldwin Hills,9810118.75,19053.8305059645
7,Bel Air,Area: 6.69 square miles,234332b77fe2456e8167e11b4d1675c7.txt,polygon,Bel Air,25350103.9023438,28117.648507969
8,Beverly Crest,Area: 8.4 square miles,7f6d17c64a434af08a9030ffff5e17ff.txt,polygon,Beverly Crest,31830877.9648438,40472.291319859
9,Beverlywood,Area: 1.07 square miles,545713c33b0b4b2089dbee4dbc4fdf9d.txt,polygon,Beverlywood,4048352.05859375,12341.4497464203
10,Boyle Heights,Area: 5.17 square miles,7459ff03d2f84b948f3b86b766dbe956.txt,polygon,Boyle Heights,19533999.6445313,22069.379084649
11,Brentwood,Area: 9.22 square miles,82d841f6ae00429484060cf11105bfd6.txt,polygon,Brentwood,34905655.59375,37322.1156433285
12,Brookside,Area: 0.1 square miles,97da5ba5c36e448b819c4b6a064cd249.txt,polygon,Brookside,390195.671875,2772.11940318504
13,Cadillac-Corning,Area: 0.24 square miles,9cf7f0f6aae446608de7ab9738b14edf.txt,polygon,Cadillac-Corning,910915.25,3939.90514325742
14,Canoga Park,Area: 4.6 square miles,38691bfab92943738c50fdba8e6788d6.txt,polygon,Canoga Park,17453680.7070313,21390.956080742
15,Carthay,Area: 0.99 square miles,70fb1945e5584c378d504f5128bd0fe1.txt,polygon,Carthay,3748624.76171875,9847.24167536447
16,Central,Area: 1.5 square miles,6e9cc8f647ff48038d5b04a8250e643f.txt,polygon,Central,5655835.6953125,11961.6410420349
17,Century City,Area: 1.16 square miles,4baf0827b8154dad8f0fc9d9b311b228.txt,polygon,Century City,4378504.50390625,8801.16294238958
18,Century Palms/Cove,Area: 2.08 square miles,09143f4a8d0a486e81b0fa8b6c780e41.txt,polygon,Century Palms/Cove,7830094.625,12320.7490601793
19,Chatsworth,Area: 10.52 square miles,449abbd291e049728c1ce8127fa8d864.txt,polygon,Chatsworth,39965842.6875,28338.245963659
20,Cheviot Hills,Area: 1.73 square miles,78c9b9b6dc5d4db68915e97beff1b055.txt,polygon,Cheviot Hills,6558856.09765625,11853.1368478504
21,Chinatown,Area: 0.4 square miles,adadf4b658e04235875de7a4c3fc0b78.txt,polygon,Chinatown,1514687.1640625,5434.25295719205
22,Cloverdale/Cochran,Area: 0.87 square miles,cbef8a5e69c246c384aafe0d54533532.txt,polygon,Cloverdale/Cochran,3273748.14453125,8995.00260822381
23,Country Club Park,Area: 0.97 square miles,a082c8a0904e4ac98ee7297c81fb373e.txt,polygon,Country Club Park,3657881.98046875,8305.0158455832
24,Crenshaw District,Area: 1.18 square miles,4f0a6c809ebb4aa08fa1917ce824ba32.txt,polygon,Crenshaw District,4471873.30859375,9603.4828941702
25,Crestview,Area: 0.78 square miles,ce3d9493cd5c4dd68aa3be9332836b6a.txt,polygon,Crestview,2949409.47265625,7968.64453008887
26,Del Rey,Area: 2.34 square miles,42d0c075d4274e2d8d8ff22ffe25de0f.txt,polygon,Del Rey,8845141.43359375,16605.0768825479
27,Downtown,Area: 2.08 square miles,fc99585ebf56437b884fc4374a51e35a.txt,polygon,Downtown,7863855.328125,16321.3711173995
28,Eagle Rock,Area: 4.62 square miles,b6c7274951b54d5a8b017fb81da2a4ee.txt,polygon,Eagle Rock,17526008.9609375,22027.555514937
29,East Hollywood,Area: 1.1 square miles,cf9899d25190410782ab32798e6c2efa.txt,polygon,East Hollywood,4170792.37890625,8429.03964242016
30,Echo Park,Area: 1 square mile,1a97fe6ce7054ee787b151f4917f5ce3.txt,polygon,Echo Park,3773515.60546875,9758.50548508747
31,El Sereno,Area: 3.91 square miles,f53014c778554638864684d6b838d64c.txt,polygon,El Sereno,14795754.2890625,21060.4766534506
32,Elysian Park,Area: 1.75 square miles,10b64e9d1bd1496689275c04667bfae9.txt,polygon,Elysian Park,6628032.41015625,14603.1876085202
33,Elysian Valley,Area: 0.96 square miles,7913c02c9371411889b9b7478538e0bf.txt,polygon,Elysian Valley,3648953.8515625,19855.7374808414
34,Encino,Area: 14.15 square miles,43d2331e80864e8c8631370af3161a6b.txt,polygon,Encino,53637643.671875,38240.2495017415
35,Exposition,Area: 0.35 square miles,f0cb2c8be53a45cd8294b36e4510f605.txt,polygon,Exposition,1329074.6796875,5063.38210996546
36,Exposition Park,Area: 2.54 square miles,1efdf5f2dab0410289a0dc9b5dbcf61d.txt,polygon,Exposition Park,9600189.46484375,15436.1844284246
37,Faircrest Heights,Area: 0.47 square miles,297cf1fab300438f8512719eabe17c9b.txt,polygon,Faircrest Heights,1769074.453125,5941.94223624611
38,Figueroa Park Square,Area: 0.71 square miles,64ccbb3419604bac8710e7f55b6e6d8a.txt,polygon,Figueroa Park Square,2687308.80078125,7950.36715817855
39,Florence-Firestone,Area: 2.53 square miles,49d01b2b089146348e0b7abe398e265e.txt,polygon,Florence-Firestone,9551197.97265625,15247.5875095195
40,Glassell Park,Area: 3.04 square miles,15e696645c024ee08f12144d54cb8ecf.txt,polygon,Glassell Park,11513692.921875,18435.2038245086
41,Gramercy Place,Area: 1.15 square miles,f1604d95401743cb8bfadd758ee1db8a.txt,polygon,Gramercy Place,4323651.68359375,9733.5313303722
42,Granada Hills,Area: 15.74 square miles,96744026b0ec4b3b817c97c521279a41.txt,polygon,Granada Hills,59881623.46875,35134.4276548167
43,Green Meadows,Area: 1.23 square miles,b33b6a46dd5b449e83a71adbc83c922d.txt,polygon,Green Meadows,4624635.70703125,8813.42379035489
44,Hancock Park,Area: 2.06 square miles,5a11dd230b564d32893b6c309107eba6.txt,polygon,Hancock Park,7782383.390625,13194.1948319885
45,Harbor City,Area: 4.56 square miles,b754c2dec5474fc68a76d5108aa9376b.txt,polygon,Harbor City,17151330.8007813,25241.2388868751
46,Harbor Gateway,Area: 5.06 square miles,5f36a25fa5424ae18dae3ccf15789e5b.txt,polygon,Harbor Gateway,19063440.34375,42207.7698546858
47,Harbor Pines,Area: 0.24 square miles,e55f56db9c8044d98d6900a9024cc567.txt,polygon,Harbor Pines,897710.703125,4214.43998916678
48,Harvard Heights,Area: 0.75 square miles,195cea6cacde4f6f8d569f9157cf1f0c.txt,polygon,Harvard Heights,2834183.53125,7752.43625735003
49,Harvard Park,Area: 2.26 square miles,131500734e224a158e3a7ea6d937c932.txt,polygon,Harvard Park,8527039.34765625,12659.9046170817
50,Highland Park,Area: 3.03 square miles,29eaebfd59e947528ee4b27daadaad7b.txt,polygon,Highland Park,11483905.7109375,20708.7844875879
51,Historic Filipinotown,Area: 0.6 square miles,5424c160aa1348a98027485cdee6f749.txt,polygon,Historic Filipinotown,2268935.9921875,7780.420926032
52,Hollywood,Area: 4.44 square miles,1c79022508324d958a29c41c52203080.txt,polygon,Hollywood,16809012.125,28619.1251782103
53,Hollywood Hills,Area: 7.05 square miles,58d3c42139e64e668d1d60d89a74ed5d.txt,polygon,Hollywood Hills,26710415.2460938,31917.8605715476
54,Hyde Park,Area: 2.04 square miles,644f9de63139419e83d326eda41c276d.txt,polygon,Hyde Park,7702255.5546875,14129.3380478278
55,Jefferson Park,Area: 0.45 square miles,b6990c624d9d4cbe85d5eb5d73b73ad7.txt,polygon,Jefferson Park,1701783.75390625,5227.99660301276
56,Koreatown,Area: 1.46 square miles,a8724b1c5d6b4d0d8351bb2ccd7321e6.txt,polygon,Koreatown,5521756.6796875,10489.6175479461
57,Lafayette Square,Area: 0.26 square miles,f1285cbeb6cd43158f0030112cf3d9aa.txt,polygon,Lafayette Square,978650.5859375,4299.00577814996
58,Lake Balboa,Area: 3.81 square miles,ee0a2b1badec461289359192a6d1b784.txt,polygon,Lake Balboa,14460121.3242188,22894.0034186348
59,Lakeview Terrace,Area: 5.97 square miles,1c414ce759c44bc68b0d311d70d64fc4.txt,polygon,Lakeview Terrace,22710222.9492188,42670.4092128922
60,Leimert Park,Area: 1.32 square miles,92614853878442ca8df243d052067450.txt,polygon,Leimert Park,4977343.06640625,10444.2418825959
61,Lincoln Heights,Area: 3.27 square miles,f879feaf39194926805e2de28da76309.txt,polygon,Lincoln Heights,12370505.8085938,22360.0024295981
62,Little Armenia,Area: 0.25 square miles,c76508f5c28f4f108863b1bb1c612a0d.txt,polygon,Little Armenia,954325.9453125,3907.4411854561
63,Little Bangladesh,Area: 0.5 square miles,0f9d9d97ea3449f3846fc6a3d46e1b14.txt,polygon,Little Bangladesh,1894552.96484375,5835.75242479612
64,Little Tokyo,Area: 0.22 square miles,e7fcd50f12f14442811b0da8fe63f19b.txt,polygon,Little Tokyo,843594.875,4300.35159423509
65,Longwood,Area: 0.24 square miles,f6ac8653c679439d8302f567a71dcbc4.txt,polygon,Longwood,894522.40234375,4834.06794897965
66,Los Feliz,Area: 10.46 square miles,d43e83e0e91141348892f3eb0466984b.txt,polygon,Los Feliz,39632573.0976563,33202.8145237607
67,Manchester Square,Area: 0.76 square miles,2a987dcceac04b888bf354d78784e58d.txt,polygon,Manchester Square,2860565.75390625,6838.96789194027
68,Mandeville Canyon,Area: 4.35 square miles,a7e6f3171db0467b8179f4160a348f4d.txt,polygon,Mandeville Canyon,16480412.6757813,27524.9184450983
69,Mar Vista,Area: 3.52 square miles,582f3fc651de48078e7e35efbddc1a24.txt,polygon,Mar Vista,13287970.125,18769.1061816504
70,Marina Peninsula,Area: 0.38 square miles,3944f6f5b5ff4c6282f630bc44594c46.txt,polygon,Marina Peninsula,1453129.59375,8626.43390501337
71,Melrose,Area: 4.48 square miles,a3a77e6aecf14a1684ad8f974c7a5448.txt,polygon,Melrose,16941519.640625,30842.591574785
72,Mid-city,Area: 1.12 square miles,6e15e54dc7ef49cb8c2c20eb05486c3d.txt,polygon,Mid-city,4249726.2421875,10971.0223128662
73,Miracle Mile,Area: 1.19 square miles,a22e24f66cbd479781bdf07ece397aa6.txt,polygon,Miracle Mile,4513296.9921875,14840.8886741244
74,Mission Hills,Area: 3.71 square miles,e37e87b991654c548963b382e434e9f8.txt,polygon,Mission Hills,14121032.9414063,18328.1054374956
75,Mt. Washington,Area: 2.36 square miles,32900ebf3cb543d48e894c015e3ff4d8.txt,polygon,Mt. Washington,8944725.55078125,16138.7590287514
76,North Hills,Area: 5.24 square miles,d721ef0fb3e444758c47ea117e64af43.txt,polygon,North Hills,19891155.9296875,21252.2128672546
77,North Hollywood,Area: 11.3 square miles,bad41351a4d344c087650f72779e16e8.txt,polygon,North Hollywood,42875181.515625,39895.2978255541
78,Northridge,Area: 9.61 square miles,aa9bc6f4a66040f68af8c88cb5ec78b2.txt,polygon,Northridge,36503699.7929688,30062.810251977
79,Pacific Palisades,Area: 5.75 square miles,a0f268bf51344c888350da657f509fda.txt,polygon,Pacific Palisades,21751044.3164063,31881.6223498843
80,Pacoima,Area: 5.92 square miles,ca5926ecb0f04a0b8ef36fe870fe109d.txt,polygon,Pacoima,22517972.3398438,20864.2892575393
81,Palisades Highlands,Area: 18.48 square miles,2be78dab14214a9e84f5be966cf71018.txt,polygon,Palisades Highlands,69966495.1484375,48173.1776443577
82,Palms,Area: 1.83 square miles,cb49d7a637ba4b208c6c6b614e46d86b.txt,polygon,Palms,6929584.30859375,13463.6259228026
83,Panorama City,Area: 3.79 square miles,38e8a675902541cd8295a1b4a6095c89.txt,polygon,Panorama City,14381388.5390625,18895.9482727342
84,Park La Brea,Area: 0.48 square miles,0d23f5b38fd8464986e747486d02f788.txt,polygon,Park La Brea,1811293.37890625,6315.58629644528
85,Pico-Union,Area: 1.34 square miles,670a565938d84c658fb37b40d44fa626.txt,polygon,Pico-Union,5075616.66015625,10828.0032716511
86,Playa Del Rey,Area: 0.67 square miles,a9802b044b0b4c6d85b5740e0c109d45.txt,polygon,Playa Del Rey,2524022.75390625,11371.422639043
87,Playa Vista,Area: 1.35 square miles,95a7b8f85667499f8fd14298812692b1.txt,polygon,Playa Vista,5106881.30078125,14345.6802002154
88,Porter Ranch,Area: 8.19 square miles,6aa6bec8cc724a4f816cef4fb33ac6fc.txt,polygon,Porter Ranch,31151406.390625,28086.640666386
89,Rancho Park,Area: 0.84 square miles,ef7408ba10364a9889aa5bed094a9421.txt,polygon,Rancho Park,3188994.94921875,8139.54130311179
90,Regent Square,Area: 0.2 square miles,ad855d5a1eb5471381791cd631523d3d.txt,polygon,Regent Square,758901.609375,3927.10700166467
91,Reseda,Area: 6.19 square miles,5ec979bdb99043ac80d8998fd462269a.txt,polygon,Reseda,23495125.9609375,22169.3461374619
92,Reseda Ranch,Area: 0.72 square miles,8281feec06f54ea08b504c5e794e7fa9.txt,polygon,Reseda Ranch,2740342.0703125,7166.52061139862
93,Reynier Village,Area: 0.35 square miles,44c6792d9ec44b468a36e1800679d705.txt,polygon,Reynier Village,1317092.12890625,5432.50961249034
94,San Pedro,Area: 11.91 square miles,eae42bede2cf441c84773db855f2cec6.txt,polygon,San Pedro,44716316.484375,113706.583082496
95,Shadow Hills,Area: 3.05 square miles,bfceba7c195441e687b71b020427c275.txt,polygon,Shadow Hills,11606960.9375,18110.3352955413
96,Sherman Oaks,Area: 10.96 square miles,9147eb6570d94bcb8fb6a1fcb672d1b2.txt,polygon,Sherman Oaks,41564655.2695313,35021.6742027279
97,Silverlake,Area: 3.8 square miles,14f0a37a3b8f4f3280a4191fe0b182f7.txt,polygon,Silverlake,14405239.9414063,23851.353787241
98,South Carthay,Area: 0.53 square miles,0cc386992fc143878348d5604279c3fd.txt,polygon,South Carthay,2010856.40625,6671.83767642561
99,South Park,Area: 1.44 square miles,099809b1a4904dde875370141c19623f.txt,polygon,South Park,5453431.61328125,10203.0435528002
100,St Elmo Village,Area: 0.15 square miles,0d9cfd6d14b2400a842a3ffaa44248a9.txt,polygon,St Elmo Village,569143.7265625,3228.8119441085
101,Studio City,Area: 4.3 square miles,2cd40cd91fc9492e832b2c602a8e986c.txt,polygon,Studio City,16297302.421875,24515.9877462814
102,Sun Valley,Area: 13.77 square miles,fb5385a53d3945d9844d49c4229fe877.txt,polygon,Sun Valley,52287668.421875,54612.1833456236
103,Sunland,Area: 6.61 square miles,88d1e91c5e9d41e980a5c0ad98d27e8d.txt,polygon,Sunland,25127168.8359375,39789.4457248618
104,Sycamore Square,Area: 0.07 square miles,9d2ee10a976745258bd1cf63ac8f2f00.txt,polygon,Sycamore Square,248109.80859375,2185.08784258945
105,Sylmar,Area: 11.85 square miles,495a2abc4ace415e82dec7e2627bdbb4.txt,polygon,Sylmar,45112617.09375,44197.0145727637
106,Tarzana,Area: 6.42 square miles,d966c4937f87474480d93934a861948e.txt,polygon,Tarzana,24354145.3867188,27231.2601495996
107,Temple-Beaudry,Area: 1.39 square miles,8667cb7d3ce342258c17d94d552532eb.txt,polygon,Temple-Beaudry,5246897.24609375,20011.1243623164
108,Thai Town,Area: 0.22 square miles,f4ac177b949f4c6a817e3882642047a3.txt,polygon,Thai Town,830943.08203125,3896.82289096335
109,Toluca Lake,Area: 1.03 square miles,1d5e8ab03848448280d79debc7181e5f.txt,polygon,Toluca Lake,3917886.98046875,9444.80149525243
110,Toluca Terrace,Area: 0.09 square miles,9a4a211bc0a54d3b879e8c9aa70664e0.txt,polygon,Toluca Terrace,339778.34375,2390.49575252374
111,Toluca Woods,Area: 0.26 square miles,83487867b32b472e8fee8f7f138fc25e.txt,polygon,Toluca Woods,973559.8515625,4505.77840882931
112,Tujunga,Area: 5.52 square miles,bc6002402da9430482871c86e5075a34.txt,polygon,Tujunga,20980084.5234375,26360.1956595917
113,University Hills,Area: 0.47 square miles,d927cbddc58a49f382d289bcf972d5fc.txt,polygon,University Hills,1781306.7578125,6706.92633269386
114,University Park,Area: 1.37 square miles,84f3a37e691540298b25348d36e6dfe9.txt,polygon,University Park,5167113.8203125,12792.3835788019
115,Valley Glen,Area: 2.34 square miles,092e77297d8c48848abed93cd9e5249d.txt,polygon,Valley Glen,8895917.2109375,12597.2920337004
116,Valley Village,Area: 2.05 square miles,08c62c776d9c4d798508c940b3ab6e36.txt,polygon,Valley Village,7757593.91015625,13177.9230204459
117,Van Nuys,Area: 7.38 square miles,a9f917beb551415e80a670b83c56db93.txt,polygon,Van Nuys,27994544.6796875,33960.7831162698
118,Venice,Area: 2.79 square miles,b4486191a30c4e5688d6f85f91732215.txt,polygon,Venice,10555308.390625,15735.6714931568
119,Vermont Knolls,Area: 1.06 square miles,bde8402855224cf38f91a9ee7b232c63.txt,polygon,Vermont Knolls,4018644.3515625,9389.8943466382
120,Vermont Square,Area: 0.44 square miles,b5cddda201d94d9e8a4a4b5cadd5fb6c.txt,polygon,Vermont Square,1678812.71484375,5215.49618410635
121,Vermont Vista,Area: 1.9 square miles,f8bad09e19d54e998e4e027e53fe2b28.txt,polygon,Vermont Vista,7161617.703125,13361.846636602
122,Vernon Central,Area: 2.29 square miles,c4ad2492dbc9424c8c5c0df364aa9266.txt,polygon,Vernon Central,8637116.27734375,14792.2407832321
123,Victoria Park,Area: 0.4 square miles,72f303342d684c768b3b22e94b5f129a.txt,polygon,Victoria Park,1528647.2109375,5902.6241772716
124,View Heights,Area: 0.34 square miles,b4308ba876a349138d5b155f70f940d6.txt,polygon,View Heights,1299932.0234375,6033.46361322005
125,Watts,Area: 2.08 square miles,c44385b39d8d42528b37c4a567fa4de2.txt,polygon,Watts,7864435.53125,12540.3958742239
126,Wellington Square,Area: 0.35 square miles,c3f9575e372249268e5f12f5518781d1.txt,polygon,Wellington Square,1325133.13671875,5101.33922877024
127,West Adams,Area: 1.47 square miles,0982cbac99a441838ce91e19ff8f93f5.txt,polygon,West Adams,5542190.75,12794.1849312634
128,West Hills,Area: 10 square miles,0e4584da5e674b5f88843a31940f4705.txt,polygon,West Hills,37974094.7460938,39072.4944527536
129,West Los Angeles,Area: 2.14 square miles,d85a4e09113e42ba827c41f6460d66ca.txt,polygon,West Los Angeles,8102098.97265625,13398.4669888823
130,West Vernon,Area: 2.52 square miles,ca0c297c74cd4df18061c27d8b606eff.txt,polygon,West Vernon,9519760.30859375,18747.3197331463
131,Westchester,Area: 12.89 square miles,2a4c8e425f5e45fc8812ad1aeac4689b.txt,polygon,Westchester,48644686.2382813,42089.1063217395
132,Westlake,Area: 1.15 square miles,0477fa2de0b5441c811027eb0c062dfb.txt,polygon,Westlake,4345529.52734375,9381.5414858265
133,Westwood,Area: 3.79 square miles,3e1efa461da7465f8683cb8af63ef81a.txt,polygon,Westwood,14354680.921875,22531.6725054024
134,Wholesale District,Area: 6.28 square miles,14c53608bd9d46be86a6759f49855125.txt,polygon,Wholesale District,23738950.9140625,29604.3184408201
135,Wilmington,Area: 7.06 square miles,9bb98969892548b68a5842f189bad8d5.txt,polygon,Wilmington,26543493.3867188,40655.6071080159
136,Wilshire Center,Area: 1.29 square miles,ccc9645e6b0e4e5c8cd0973679c20c5c.txt,polygon,Wilshire Center,4879565.08203125,14722.4529414087
137,Winnetka,Area: 5.02 square miles,d4a9d723d08e48fb812704eaa8b1b612.txt,polygon,Winnetka,19044007.6445313,21209.1980893327
138,Woodland Hills,Area: 14.76 square miles,755a1d595d0a4a44888045db1d7f22d1.txt,polygon,Woodland Hills,55964952.3242188,45094.9524974331
